Date Time, Memory Used (GB)
2024-05-10 08:27:50, 66.79
2024-05-10 08:27:53, 66.99
2024-05-10 08:27:57, 70.84
2024-05-10 08:28:00, 67.13
2024-05-10 08:28:03, 67.32
2024-05-10 08:28:06, 67.51
2024-05-10 08:28:10, 67.70
2024-05-10 08:28:13, 67.89
2024-05-10 08:28:16, 73.82
2024-05-10 08:28:19, 82.01
2024-05-10 08:28:23, 88.59
2024-05-10 08:28:26, 58.19
2024-05-10 08:28:29, 45.80
2024-05-10 08:28:32, 45.81
2024-05-10 08:28:36, 45.84
2024-05-10 08:28:39, 45.83
2024-05-10 08:28:42, 45.84
2024-05-10 08:28:45, 45.83
2024-05-10 08:28:49, 45.83
2024-05-10 08:28:52, 45.84
2024-05-10 08:28:55, 45.85
2024-05-10 08:28:58, 45.86
2024-05-10 08:29:02, 45.87
2024-05-10 08:29:05, 45.88
2024-05-10 08:29:08, 45.90
2024-05-10 08:29:11, 45.91
2024-05-10 08:29:14, 45.92
2024-05-10 08:29:18, 45.92
2024-05-10 08:29:21, 45.93
2024-05-10 08:29:24, 45.95
2024-05-10 08:29:27, 45.95
2024-05-10 08:29:31, 45.95
2024-05-10 08:29:34, 45.96
2024-05-10 08:29:37, 45.97
2024-05-10 08:29:40, 45.98
2024-05-10 08:29:44, 45.98
2024-05-10 08:29:47, 45.98
2024-05-10 08:29:50, 45.99
2024-05-10 08:29:53, 45.99
2024-05-10 08:29:57, 46.04
2024-05-10 08:30:00, 46.24
2024-05-10 08:30:03, 46.43
2024-05-10 08:30:06, 46.61
2024-05-10 08:30:10, 46.81
2024-05-10 08:30:13, 47.00
2024-05-10 08:30:16, 47.18
2024-05-10 08:30:19, 47.37
2024-05-10 08:30:23, 47.57
2024-05-10 08:30:26, 47.76
2024-05-10 08:30:29, 47.95
2024-05-10 08:30:32, 48.10
2024-05-10 08:30:36, 48.29
2024-05-10 08:30:39, 48.49
2024-05-10 08:30:42, 48.69
2024-05-10 08:30:45, 48.88
2024-05-10 08:30:49, 50.34
2024-05-10 08:30:52, 49.20
2024-05-10 08:30:55, 49.40
2024-05-10 08:30:58, 49.59
2024-05-10 08:31:01, 49.79
2024-05-10 08:31:05, 49.99
2024-05-10 08:31:08, 50.08
2024-05-10 08:31:11, 50.28
2024-05-10 08:31:14, 50.48
2024-05-10 08:31:18, 50.69
2024-05-10 08:31:21, 50.88
2024-05-10 08:31:24, 51.08
2024-05-10 08:31:27, 51.15
2024-05-10 08:31:31, 51.35
2024-05-10 08:31:34, 51.55
2024-05-10 08:31:37, 51.75
2024-05-10 08:31:40, 51.95
2024-05-10 08:31:44, 52.14
2024-05-10 08:31:47, 52.20
2024-05-10 08:31:50, 52.39
2024-05-10 08:31:53, 52.59
2024-05-10 08:31:57, 52.78
2024-05-10 08:32:00, 52.98
2024-05-10 08:32:03, 53.36
2024-05-10 08:32:06, 53.21
2024-05-10 08:32:10, 53.41
2024-05-10 08:32:13, 53.61
2024-05-10 08:32:16, 53.80
2024-05-10 08:32:19, 53.99
2024-05-10 08:32:23, 54.19
2024-05-10 08:32:26, 57.18
2024-05-10 08:32:29, 54.40
2024-05-10 08:32:32, 54.59
2024-05-10 08:32:35, 54.78
2024-05-10 08:32:39, 54.98
2024-05-10 08:32:42, 55.18
2024-05-10 08:32:45, 62.09
2024-05-10 08:32:48, 55.35
2024-05-10 08:32:52, 55.55
2024-05-10 08:32:55, 55.74
2024-05-10 08:32:58, 55.94
2024-05-10 08:33:01, 56.14
2024-05-10 08:33:05, 60.43
2024-05-10 08:33:08, 56.30
2024-05-10 08:33:11, 56.50
2024-05-10 08:33:14, 56.70
2024-05-10 08:33:18, 56.90
2024-05-10 08:33:21, 57.10
2024-05-10 08:33:24, 63.92
2024-05-10 08:33:27, 71.93
2024-05-10 08:33:31, 78.60
2024-05-10 08:33:34, 56.85
2024-05-10 08:33:37, 57.04
2024-05-10 08:33:40, 57.25
2024-05-10 08:33:44, 57.44
2024-05-10 08:33:47, 57.65
2024-05-10 08:33:50, 57.87
2024-05-10 08:33:53, 58.03
2024-05-10 08:33:57, 58.25
2024-05-10 08:34:00, 58.45
2024-05-10 08:34:03, 58.66
2024-05-10 08:34:06, 58.86
2024-05-10 08:34:09, 59.03
2024-05-10 08:34:13, 59.23
2024-05-10 08:34:16, 59.43
2024-05-10 08:34:19, 59.63
2024-05-10 08:34:22, 59.84
2024-05-10 08:34:26, 60.63
2024-05-10 08:34:29, 60.16
2024-05-10 08:34:32, 60.35
2024-05-10 08:34:35, 60.56
2024-05-10 08:34:39, 60.76
2024-05-10 08:34:42, 60.96
2024-05-10 08:34:45, 62.83
2024-05-10 08:34:48, 61.26
2024-05-10 08:34:52, 61.46
2024-05-10 08:34:55, 61.65
2024-05-10 08:34:58, 61.86
2024-05-10 08:35:01, 62.06
2024-05-10 08:35:05, 62.15
2024-05-10 08:35:08, 62.34
2024-05-10 08:35:11, 62.54
2024-05-10 08:35:14, 62.74
2024-05-10 08:35:18, 62.94
2024-05-10 08:35:21, 63.14
2024-05-10 08:35:24, 63.20
2024-05-10 08:35:27, 63.39
2024-05-10 08:35:30, 63.59
2024-05-10 08:35:34, 63.76
2024-05-10 08:35:37, 63.96
2024-05-10 08:35:40, 64.15
2024-05-10 08:35:43, 64.19
2024-05-10 08:35:47, 64.38
2024-05-10 08:35:50, 64.58
2024-05-10 08:35:53, 64.77
2024-05-10 08:35:56, 64.97
2024-05-10 08:36:00, 65.16
2024-05-10 08:36:03, 72.75
2024-05-10 08:36:06, 65.37
2024-05-10 08:36:09, 65.56
2024-05-10 08:36:13, 65.75
2024-05-10 08:36:16, 65.96
2024-05-10 08:36:19, 66.15
2024-05-10 08:36:22, 71.85
2024-05-10 08:36:26, 66.31
2024-05-10 08:36:29, 66.51
2024-05-10 08:36:32, 66.70
2024-05-10 08:36:35, 66.89
2024-05-10 08:36:39, 67.08
2024-05-10 08:36:42, 69.82
2024-05-10 08:36:45, 67.24
2024-05-10 08:36:48, 67.44
2024-05-10 08:36:52, 67.64
2024-05-10 08:36:55, 67.83
2024-05-10 08:36:58, 68.02
2024-05-10 08:37:01, 73.11
2024-05-10 08:37:05, 81.61
2024-05-10 08:37:08, 88.19
2024-05-10 08:37:11, 57.98
2024-05-10 08:37:14, 45.86
2024-05-10 08:37:17, 45.87
2024-05-10 08:37:21, 45.89
2024-05-10 08:37:24, 45.90
2024-05-10 08:37:27, 45.90
2024-05-10 08:37:30, 45.92
2024-05-10 08:37:34, 45.92
2024-05-10 08:37:37, 45.94
2024-05-10 08:37:40, 45.94
2024-05-10 08:37:43, 45.95
2024-05-10 08:37:47, 45.96
2024-05-10 08:37:50, 45.97
2024-05-10 08:37:53, 45.97
2024-05-10 08:37:56, 45.97
2024-05-10 08:38:00, 45.98
2024-05-10 08:38:03, 46.02
2024-05-10 08:38:06, 46.03
2024-05-10 08:38:09, 46.04
2024-05-10 08:38:13, 46.05
2024-05-10 08:38:16, 46.06
2024-05-10 08:38:19, 46.06
2024-05-10 08:38:22, 46.21
2024-05-10 08:38:26, 46.40
2024-05-10 08:38:29, 46.82
2024-05-10 08:38:32, 46.78
2024-05-10 08:38:35, 46.98
2024-05-10 08:38:39, 47.17
2024-05-10 08:38:42, 47.36
2024-05-10 08:38:45, 47.55
2024-05-10 08:38:48, 47.74
2024-05-10 08:38:52, 47.93
2024-05-10 08:38:55, 48.16
2024-05-10 08:38:58, 48.41
2024-05-10 08:39:01, 48.50
2024-05-10 08:39:04, 48.69
2024-05-10 08:39:08, 48.89
2024-05-10 08:39:11, 49.10
2024-05-10 08:39:14, 49.16
2024-05-10 08:39:17, 49.31
2024-05-10 08:39:21, 49.58
2024-05-10 08:39:24, 49.76
2024-05-10 08:39:28, 49.93
2024-05-10 08:39:32, 52.82
2024-05-10 08:39:35, 50.26
